SiO2,Al2O3,Fe2O3tot,CaO,Total,Ti,Rb,Nb,La,Ce,Sm,Yb,LaN,CeN,SmN,YbN,La/Nb,Rb/Sm,Nb/La,Nb/Yb,Nb/Rb,La/Sm,La/Yb,(La/Yb)N,Sm/Yb,(Sm/Yb)N,SiO2(LOI free),TiO2(LOI free),Al2O3(LOI free),Fe2O3(LOI free),MgO(LOI free),CaO(LOI free),Na2O(LOI free),Label,Id
57.11,16.52,7.86,5.73,100.58,5216.0,23.0,27.0,22.0,35.0,4.0,2.35,71.2,43.0,20.4,11.2,0.8,5.7,1.21,11.37,1.17,5.6,9.4,6.3,1.7,1.8,57.07,0.87,16.51,7.86,3.94,5.73,2.93,1,2095
46.65,17.6,10.91,9.92,100.01,7074.0,52.0,2.0,12.0,27.0,3.7,1.77,39.5,33.4,19.0,8.5,4.9,14.0,0.2,1.4,0.05,3.3,6.9,4.7,2.1,2.2,48.0,1.21,18.11,11.23,5.97,10.21,2.26,0,2766
65.92,11.4,5.5,5.4,100.0,5575.0,62.0,13.0,17.0,39.0,4.7,2.4,56.1,48.4,24.1,11.5,1.4,13.2,0.72,5.25,0.2,3.7,7.3,4.9,2.0,2.1,66.45,0.94,11.49,5.54,2.15,5.44,3.85,1,1903
63.39,15.71,3.54,3.43,99.66,2398.0,180.0,26.0,32.0,64.0,5.0,1.77,103.9,78.8,25.6,8.5,1.3,36.08,0.79,14.41,0.14,6.4,18.2,12.3,2.82,3.03,63.8,0.4,15.81,3.56,1.68,3.45,4.71,0,198
51.19,17.89,9.47,9.0,99.97,6055.0,65.0,8.0,22.0,42.0,5.1,2.11,70.3,51.9,25.9,10.1,2.7,12.9,0.37,3.82,0.12,4.3,10.3,7.0,2.4,2.6,51.55,1.02,18.02,9.54,4.69,9.06,2.86,1,1940
48.58,17.42,9.79,10.19,98.98,8573.0,29.0,28.0,30.0,56.0,6.0,2.67,96.4,69.9,30.9,12.8,1.1,4.76,0.93,10.43,0.97,5.0,11.2,7.5,2.25,2.42,50.11,1.48,17.97,10.1,3.91,10.51,3.5,1,320
53.2,15.89,8.46,9.69,102.36,9232.0,3.0,5.0,8.0,20.0,3.4,2.26,27.1,24.2,17.4,10.8,1.6,0.9,0.63,2.35,1.67,2.5,3.7,2.5,1.5,1.6,53.04,1.54,15.84,8.43,6.41,9.66,4.5,1,1882
48.75,14.43,10.11,8.65,99.84,13369.0,21.0,68.0,33.0,64.0,7.3,1.5,105.5,79.7,37.4,7.2,0.5,2.82,2.09,45.6,3.32,4.48,21.8,14.7,4.87,5.22,49.44,2.26,14.63,10.25,6.94,8.77,4.76,2,939
55.93,16.57,10.23,2.7,97.92,4875.0,73.0,4.0,14.0,27.0,3.4,2.33,44.7,33.8,17.5,11.1,3.9,21.4,0.25,1.51,0.05,4.1,6.0,4.0,1.5,1.6,57.6,0.84,17.07,10.53,3.73,2.78,4.24,1,2304
76.76,12.44,1.66,0.27,100.73,779.0,272.0,19.0,24.0,34.0,1.2,0.59,77.4,42.5,6.2,2.8,1.2,226.7,0.8,32.71,0.07,20.0,40.7,27.4,2.0,2.2,76.86,0.13,12.46,1.67,0.13,0.27,3.25,1,2107
65.74,16.63,2.96,3.56,99.38,2518.0,48.0,9.0,42.0,82.0,4.8,0.85,133.9,101.7,24.4,4.1,4.7,10.1,0.21,10.47,0.19,8.7,48.8,32.9,5.6,6.0,66.62,0.43,16.85,3.0,0.94,3.61,5.8,0,2347
52.35,19.76,7.03,7.34,99.3,5156.0,121.0,30.0,65.0,132.0,8.8,1.68,211.0,163.4,45.1,8.0,2.2,13.7,0.46,17.8,0.25,7.4,38.9,26.2,5.2,5.6,53.65,0.88,20.25,7.21,2.18,7.52,3.36,0,1658
51.16,17.66,9.59,8.79,99.83,6295.0,64.0,8.0,23.0,44.0,5.5,2.33,73.1,54.7,28.1,11.1,2.7,11.6,0.37,3.58,0.13,4.1,9.7,6.6,2.3,2.5,51.68,1.06,17.84,9.69,4.59,8.88,2.97,1,1937
49.25,13.16,7.27,10.2,99.32,8873.0,53.0,43.0,138.0,259.0,14.4,1.7,443.5,320.0,73.8,8.1,3.2,3.7,0.31,25.19,0.8,9.5,80.9,54.5,8.5,9.1,50.09,1.51,13.38,7.39,7.6,10.37,5.53,2,1244
44.02,12.93,9.89,12.53,99.26,7314.0,185.0,27.0,56.0,108.0,11.5,2.12,179.4,134.2,59.1,10.1,2.1,16.02,0.48,12.55,0.14,4.8,26.2,17.7,5.43,5.82,45.4,1.26,13.34,10.2,8.01,12.92,1.43,0,224
67.94,15.34,0.89,4.72,98.55,2818.0,92.0,23.0,39.0,80.0,3.9,1.07,125.2,98.9,20.2,5.1,1.7,23.4,0.59,21.21,0.25,9.8,36.3,24.4,3.7,3.9,68.94,0.48,15.57,0.9,1.38,4.79,3.8,0,1637
43.0,16.22,11.87,7.2,92.13,12170.0,20.0,47.0,47.0,93.0,6.9,2.1,150.6,114.5,35.4,10.0,1.0,2.9,1.0,22.33,2.31,6.8,22.2,15.0,3.3,3.5,46.71,2.2,17.62,12.89,7.17,7.82,3.96,1,3003
46.98,13.79,9.69,8.28,98.42,11211.0,62.0,61.0,114.0,243.0,14.5,1.72,367.7,300.7,74.4,8.2,1.9,4.27,0.54,35.47,0.98,7.9,66.3,44.7,8.44,9.04,47.78,1.9,14.03,9.86,8.6,8.42,4.08,2,2
64.44,15.7,6.07,5.07,101.33,3477.0,64.0,5.0,14.0,30.0,3.8,2.81,46.5,37.6,19.2,13.4,2.9,17.0,0.34,1.75,0.08,3.8,5.1,3.5,1.3,1.4,64.53,0.58,15.72,6.08,2.29,5.08,3.33,0,2168
48.77,17.73,9.02,8.57,99.61,4077.0,43.0,3.0,13.0,28.0,3.5,1.51,42.9,34.3,17.9,7.2,4.6,12.2,0.22,1.92,0.07,3.8,8.8,5.9,2.3,2.5,50.48,0.7,18.35,9.34,5.02,8.87,4.46,1,2337
49.42,16.27,7.96,9.1,98.22,8633.0,27.0,42.0,77.0,160.0,11.0,1.9,248.4,198.0,56.4,9.1,1.8,2.45,0.55,22.11,1.56,7.0,40.5,27.3,5.79,6.21,51.31,1.5,16.89,8.26,5.47,9.45,3.34,2,528
66.65,14.21,4.59,3.81,99.77,3177.0,16.0,7.0,10.0,21.0,2.9,2.64,31.8,25.8,14.9,12.6,1.5,5.4,0.69,2.58,0.43,3.4,3.7,2.5,1.1,1.2,68.12,0.54,14.52,4.69,1.02,3.89,3.73,1,2741
68.8,15.9,1.9,1.8,97.68,2098.0,187.0,15.0,36.0,68.0,5.2,1.27,116.1,84.2,26.7,6.1,2.4,35.9,0.42,11.81,0.08,6.9,28.3,19.1,4.1,4.4,70.43,0.36,16.28,1.95,0.18,1.84,4.42,0,1219
63.94,18.37,3.53,1.36,100.45,2158.0,55.0,5.0,9.0,19.0,2.4,1.56,28.7,23.7,12.4,7.4,1.6,22.8,0.61,3.52,0.1,3.7,5.7,3.9,1.6,1.7,63.89,0.36,18.36,3.53,0.33,1.36,7.66,1,2707
58.18,15.34,9.98,5.14,100.51,1978.0,10.0,6.0,12.0,19.0,2.2,1.72,38.7,22.9,11.3,8.2,2.0,4.34,0.51,3.55,0.64,5.4,7.0,4.7,1.28,1.38,59.72,0.34,15.75,10.24,3.66,5.28,3.49,1,671
58.91,15.54,7.68,6.31,98.95,4676.0,35.0,4.0,12.0,26.0,3.9,2.74,37.1,32.2,19.8,13.1,2.7,9.0,0.37,1.54,0.12,3.0,4.2,2.8,1.4,1.5,60.46,0.8,15.95,7.88,2.96,6.48,3.2,1,2639
58.9,17.0,7.5,6.4,99.94,1799.0,137.0,16.0,28.0,56.0,5.3,1.44,90.3,69.3,27.0,6.9,1.7,26.0,0.59,11.39,0.12,5.3,19.4,13.1,3.7,3.9,59.15,0.3,17.07,7.53,2.33,6.43,2.61,1,2489
45.0,12.67,9.45,10.95,100.04,7014.0,93.0,54.0,80.0,162.0,16.4,2.77,256.8,200.5,84.1,13.3,1.5,5.68,0.67,19.39,0.58,4.9,28.7,19.4,5.92,6.35,47.36,1.23,13.34,9.95,6.85,11.53,4.65,0,190
60.92,17.48,5.32,5.61,99.83,3597.0,52.0,5.0,19.0,34.0,2.6,0.74,62.6,42.1,13.1,3.5,4.0,20.5,0.25,6.49,0.09,7.6,26.2,17.7,3.5,3.7,62.02,0.61,17.79,5.42,2.34,5.71,3.9,1,1534
70.93,14.96,3.28,3.26,99.09,1799.0,39.0,8.0,20.0,45.0,3.8,2.1,64.5,55.7,19.5,10.0,2.7,10.2,0.38,3.57,0.19,5.3,9.5,6.4,1.8,1.9,71.58,0.3,15.1,3.31,0.58,3.29,4.21,0,2140
67.18,16.69,3.08,0.73,98.57,3717.0,15.0,20.0,19.0,36.0,3.8,3.3,61.3,44.6,19.5,15.8,1.0,3.89,1.05,6.06,1.35,5.0,5.8,3.9,1.15,1.23,68.15,0.63,16.93,3.12,0.96,0.74,8.41,1,93
54.9,15.8,6.52,7.8,99.21,5191.67,36.0,9.0,45.0,86.0,6.5,1.37,146.1,106.9,33.2,6.6,5.3,5.56,0.19,6.28,0.24,6.99,33.07,22.29,4.73,5.07,55.89,0.88,16.09,6.64,5.31,7.94,4.25,2,2930
50.45,18.47,4.0,10.23,95.96,6774.0,22.0,7.0,17.0,36.0,4.1,2.15,53.9,44.8,21.0,10.3,2.5,5.3,0.4,3.07,0.3,4.1,7.8,5.2,1.9,2.0,53.98,1.21,19.76,4.28,4.94,10.95,3.09,1,2817
70.55,15.77,2.09,0.59,101.02,959.0,129.0,10.0,43.0,69.0,3.5,2.31,139.7,85.6,17.7,11.1,4.5,37.1,0.22,4.2,0.08,12.5,18.7,12.6,1.5,1.6,70.47,0.16,15.75,2.09,0.27,0.59,5.24,1,2950
46.6,16.5,10.2,9.74,98.53,10671.0,36.0,31.0,86.0,165.0,10.4,2.0,276.1,204.2,53.3,9.6,2.8,3.4,0.36,15.5,0.87,8.2,42.8,28.9,5.2,5.6,48.04,1.83,17.01,10.51,5.87,10.04,3.4,2,1282
48.6,15.4,9.23,6.76,99.22,8753.0,17.0,18.0,29.0,66.0,6.0,1.26,94.5,81.8,30.8,6.0,1.6,2.76,0.62,14.44,1.1,4.9,23.3,15.7,4.77,5.11,50.98,1.53,16.15,9.68,6.94,7.09,5.37,1,933
45.3,14.45,9.47,8.22,99.32,9892.0,40.0,32.0,43.0,94.0,8.3,1.17,140.0,116.0,42.7,5.6,1.4,4.79,0.73,27.01,0.79,5.2,37.1,25.0,7.12,7.63,48.37,1.76,15.43,10.11,7.3,8.78,4.99,1,931
58.8,18.55,4.69,4.05,99.42,3537.0,172.0,40.0,73.0,126.0,8.1,2.61,233.9,155.9,41.6,12.5,1.8,21.2,0.55,15.33,0.23,8.9,27.8,18.7,3.1,3.3,59.32,0.6,18.71,4.73,1.66,4.09,4.7,0,1662
59.32,14.4,5.91,6.01,98.43,5695.0,61.0,28.0,74.0,101.0,4.8,0.98,238.1,125.0,24.7,4.7,2.6,12.7,0.38,28.78,0.46,15.3,75.3,50.8,4.9,5.3,60.27,0.97,14.63,6.0,5.36,6.11,5.1,0,1640
71.02,15.4,2.03,1.85,99.98,1199.0,137.0,9.0,22.0,42.0,3.4,2.29,70.3,52.1,17.6,11.0,2.4,39.7,0.41,3.93,0.07,6.3,9.5,6.4,1.5,1.6,71.43,0.2,15.49,2.04,0.43,1.86,4.14,1,1596
49.99,16.93,10.55,9.48,99.87,6475.0,48.0,7.0,19.0,38.0,4.8,2.16,62.0,46.8,24.8,10.3,2.6,9.9,0.39,3.44,0.15,4.0,8.9,6.0,2.2,2.4,50.51,1.09,17.11,10.66,5.77,9.58,2.68,1,1933
51.09,16.28,8.32,9.62,99.35,6834.0,71.0,17.0,32.0,59.0,5.8,2.32,104.4,73.3,29.7,11.1,1.9,12.2,0.53,7.42,0.24,5.6,13.9,9.4,2.5,2.7,52.14,1.16,16.61,8.49,5.02,9.82,3.03,1,1799
67.5,15.1,2.45,2.08,99.76,1739.0,190.0,37.0,68.0,111.0,3.9,1.5,220.3,137.4,20.0,7.2,1.8,48.7,0.54,24.67,0.19,17.5,45.5,30.7,2.6,2.8,68.91,0.3,15.42,2.5,0.74,2.12,5.21,2,1268
40.62,12.45,9.6,14.91,99.29,9772.0,47.0,49.0,149.0,262.0,14.8,1.9,480.6,324.3,75.9,9.1,3.0,3.2,0.33,25.89,1.05,10.1,78.4,52.9,7.8,8.3,41.98,1.68,12.87,9.92,11.58,15.41,2.82,2,1202
71.78,14.24,2.22,2.91,99.2,1679.0,132.0,5.0,14.0,27.0,1.9,0.9,43.9,33.7,9.7,4.3,2.8,69.6,0.36,5.44,0.04,7.2,15.1,10.2,2.1,2.3,72.36,0.28,14.35,2.24,1.1,2.93,4.04,0,2152
59.3,15.85,6.14,5.38,98.69,4436.0,112.0,13.0,27.0,53.0,4.8,2.51,85.8,65.6,24.5,12.0,2.0,23.33,0.5,5.26,0.12,5.6,10.6,7.1,1.9,2.04,61.44,0.77,16.42,6.36,3.0,5.57,4.12,0,48
56.71,20.3,7.66,8.48,102.17,3657.0,33.0,5.0,19.0,37.0,3.4,1.77,61.9,46.3,17.6,8.5,3.9,9.74,0.26,2.79,0.15,5.6,10.8,7.3,1.94,2.08,55.51,0.6,19.87,7.5,2.96,8.3,3.48,1,603
48.3,15.0,5.76,13.6,99.21,1679.0,2.0,0.0,1.0,2.0,0.7,0.81,2.3,2.2,3.6,3.9,1.8,2.96,0.57,0.49,0.19,1.0,0.9,0.6,0.88,0.94,50.19,0.29,15.59,5.99,11.07,14.13,2.44,1,258
73.58,12.4,1.9,0.88,99.99,1918.0,259.0,13.0,48.0,71.0,6.8,1.0,154.8,87.9,34.9,4.8,3.6,38.1,0.28,13.3,0.05,7.1,48.0,32.4,6.8,7.3,73.62,0.32,12.41,1.9,1.42,0.88,3.46,1,2518
65.42,14.61,1.48,4.86,99.69,3177.0,96.0,7.0,18.0,28.0,3.0,0.58,56.5,34.5,15.5,2.8,2.5,31.8,0.4,12.07,0.07,5.8,30.2,20.3,5.2,5.6,67.76,0.55,15.13,1.53,1.14,5.03,2.11,0,1791
50.72,20.74,7.16,7.14,99.93,6738.0,70.0,12.0,31.0,60.0,6.4,2.49,98.7,74.4,32.9,11.9,2.5,10.9,0.4,4.94,0.18,4.8,12.3,8.3,2.6,2.8,52.17,1.16,21.33,7.37,2.13,7.35,4.62,1,2542
49.22,17.51,11.67,7.06,99.81,12769.0,19.0,26.0,38.0,78.0,7.4,3.2,122.6,96.5,37.9,15.3,1.5,2.6,0.68,8.13,1.34,5.1,11.9,8.0,2.3,2.5,49.32,2.13,17.54,11.69,4.57,7.07,5.14,2,1423
54.16,15.95,10.31,6.34,99.98,5096.0,12.0,1.0,12.0,23.0,2.6,1.87,37.1,28.7,13.5,8.9,23.0,4.5,0.04,0.27,0.04,4.4,6.2,4.1,1.4,1.5,55.53,0.87,16.35,10.58,4.02,6.5,4.95,1,2737
54.8,15.67,9.9,6.77,100.57,11151.0,32.0,24.0,14.0,29.0,4.9,1.38,44.5,35.8,25.0,6.6,0.6,6.54,1.76,17.61,0.76,2.8,10.0,6.7,3.54,3.79,54.97,1.87,15.72,9.93,4.82,6.79,4.29,0,822
60.38,16.0,5.22,5.89,99.25,3477.0,37.0,8.0,19.0,56.0,2.4,0.39,60.3,69.7,12.4,1.9,2.5,15.1,0.41,19.49,0.21,7.8,47.9,32.3,6.2,6.6,61.55,0.59,16.31,5.32,2.82,6.0,4.53,0,1738
54.28,19.42,6.17,4.75,100.75,5096.0,112.0,14.0,32.0,67.0,5.2,2.24,104.2,82.5,26.7,10.7,2.3,21.54,0.43,6.25,0.13,6.2,14.4,9.7,2.32,2.49,55.47,0.87,19.84,6.3,2.19,4.85,5.38,1,581
66.92,14.28,5.1,3.25,99.67,3357.0,18.0,7.0,10.0,22.0,3.1,2.67,32.7,27.2,15.7,12.8,1.4,5.9,0.73,2.77,0.41,3.3,3.8,2.6,1.1,1.2,67.85,0.57,14.48,5.17,1.44,3.3,3.76,1,2743
67.11,16.99,3.22,0.3,100.36,4262.45,170.0,24.0,40.0,77.0,6.5,3.0,127.7,95.1,33.5,14.4,1.7,26.01,0.59,7.84,0.14,6.06,13.18,8.88,2.17,2.33,69.78,0.74,17.66,3.35,0.5,0.31,2.66,0,986
69.79,16.55,0.81,2.92,99.42,1858.0,72.0,12.0,18.0,28.0,1.7,0.58,57.7,34.0,8.7,2.8,1.5,42.4,0.67,20.69,0.17,10.5,30.9,20.8,2.9,3.1,70.42,0.31,16.7,0.82,2.02,2.95,4.31,0,2568
54.37,15.96,9.71,3.83,98.32,4616.0,7.0,101.0,86.0,154.0,12.7,4.38,277.1,190.6,65.1,21.0,0.9,0.52,1.18,23.06,15.3,6.8,19.6,13.2,2.9,3.11,57.3,0.81,16.82,10.23,3.18,4.04,6.15,1,651
61.7,16.0,4.6,2.28,98.45,3717.0,352.0,23.0,39.0,75.0,6.7,5.47,125.8,92.8,34.1,26.2,1.7,52.9,0.59,4.2,0.07,5.9,7.1,4.8,1.2,1.3,64.1,0.64,16.62,4.78,0.42,2.37,3.59,0,1685
53.91,20.37,3.05,11.91,100.31,5455.45,3.0,2.0,8.0,17.0,2.4,1.31,25.8,20.9,12.1,6.3,4.7,1.27,0.21,1.3,0.57,3.39,6.11,4.12,1.8,1.93,53.91,0.91,20.37,3.05,5.27,11.91,3.99,0,1062
51.55,20.85,9.78,9.55,104.3,4376.0,57.0,7.0,21.0,39.0,4.4,1.67,69.3,47.8,22.7,8.0,3.2,12.9,0.31,4.0,0.12,4.9,12.9,8.7,2.6,2.8,50.87,0.72,20.57,9.65,1.85,9.42,4.5,1,1962
54.45,17.86,8.09,6.66,99.13,7194.0,122.0,36.0,68.0,140.0,9.6,2.2,218.4,173.3,49.2,10.5,1.9,12.7,0.54,16.5,0.3,7.1,30.8,20.7,4.4,4.7,55.39,1.22,18.17,8.23,3.04,6.78,3.5,0,1646
57.83,17.43,7.49,6.07,99.68,3357.0,69.0,7.0,19.0,39.0,3.8,1.76,61.3,48.6,19.5,8.4,2.8,18.08,0.36,3.86,0.1,5.0,10.8,7.3,2.16,2.31,58.78,0.57,17.72,7.61,2.75,6.17,3.41,2,842
48.76,14.91,8.63,7.93,100.28,10671.0,42.0,55.0,102.0,201.0,10.9,1.49,330.3,248.4,55.8,7.1,1.9,3.84,0.53,36.71,1.31,9.4,68.7,46.3,7.3,7.83,49.18,1.8,15.04,8.7,8.46,8.0,3.82,2,6
60.44,14.66,7.29,2.05,99.46,5401.5,22.0,5.0,17.0,39.0,5.4,3.4,55.2,47.6,27.7,16.3,3.4,4.07,0.29,1.47,0.23,3.17,5.03,3.39,1.59,1.7,63.47,0.95,15.4,7.66,2.73,2.15,5.59,1,996
63.5,16.3,4.49,5.16,99.36,3297.0,106.0,12.0,31.0,59.0,4.4,1.6,101.3,73.0,22.7,7.7,2.6,23.8,0.39,7.69,0.12,7.1,19.6,13.2,2.8,3.0,64.3,0.56,16.5,4.55,2.29,5.22,3.86,0,1160
50.54,20.23,7.0,8.43,102.39,5276.0,66.0,13.0,48.0,58.0,5.4,2.0,156.0,71.7,27.6,9.6,3.7,12.3,0.27,6.5,0.2,9.0,24.2,16.3,2.7,2.9,50.55,0.88,20.23,7.0,6.19,8.43,2.22,0,2804
62.8,13.09,4.81,4.34,98.72,2998.0,132.0,13.0,32.0,69.0,5.1,2.8,103.2,85.4,26.2,13.4,2.5,25.9,0.41,4.64,0.1,6.3,11.4,7.7,1.8,2.0,65.72,0.52,13.7,5.03,4.14,4.54,2.32,1,1832
50.0,13.05,8.19,9.36,100.14,7314.0,170.0,48.0,62.0,128.0,12.3,1.93,199.0,158.4,62.8,9.2,1.3,13.88,0.77,24.61,0.28,5.0,32.0,21.6,6.35,6.8,51.21,1.25,13.37,8.39,6.74,9.59,2.41,2,156
67.07,12.81,7.9,4.23,100.64,3177.0,90.0,6.0,11.0,21.0,2.9,2.7,35.5,26.0,15.0,12.9,2.0,30.7,0.5,2.04,0.06,3.8,4.1,2.7,1.1,1.2,67.03,0.53,12.8,7.89,1.66,4.23,2.61,1,2812
72.32,13.53,2.32,1.8,100.15,1799.0,243.0,9.0,51.0,94.0,6.4,3.26,163.2,116.3,32.8,15.6,5.9,38.0,0.17,2.64,0.04,7.9,15.5,10.5,2.0,2.1,73.24,0.3,13.7,2.35,0.75,1.82,2.59,0,1526
51.9,16.1,10.75,9.9,101.11,10791.0,10.0,15.0,21.0,50.0,7.0,4.25,67.7,61.3,35.7,20.3,1.4,1.4,0.73,3.62,1.62,3.0,4.9,3.3,1.6,1.8,51.56,1.79,16.0,10.68,4.25,9.84,4.71,1,2699
70.6,13.85,1.14,2.01,96.04,1439.0,143.0,15.0,37.0,65.0,3.6,2.15,120.3,80.4,18.3,10.3,2.6,40.06,0.39,6.74,0.1,10.4,17.3,11.7,1.66,1.78,73.51,0.25,14.42,1.19,0.82,2.09,3.51,1,683
47.75,17.38,11.69,8.87,99.45,15407.0,37.0,20.0,7.0,15.0,1.6,0.88,23.5,18.6,8.1,4.2,0.4,23.5,2.7,22.39,0.53,4.6,8.3,5.6,1.8,1.9,48.38,2.6,17.61,11.84,4.4,8.99,3.97,1,2191
55.5,16.45,8.59,7.66,98.15,4796.0,28.0,5.0,12.0,24.0,3.2,2.47,37.1,29.3,16.6,11.8,2.3,8.61,0.43,1.98,0.18,3.55,4.66,3.14,1.31,1.41,56.55,0.82,16.76,8.75,3.82,7.8,3.89,1,1071
49.09,13.57,10.73,8.13,98.7,17685.0,50.0,62.0,54.0,100.0,8.7,2.15,172.8,124.1,44.7,10.3,0.9,5.7,1.17,29.04,1.25,6.1,24.9,16.8,4.1,4.3,50.81,3.05,14.05,11.11,4.26,8.42,4.73,1,1869
51.09,17.35,7.79,9.15,98.13,4856.0,110.0,15.0,29.0,65.0,0.4,2.65,94.4,79.8,2.3,12.7,2.0,250.0,0.51,5.66,0.14,66.5,11.0,7.4,0.17,0.18,52.06,0.83,17.68,7.94,5.77,9.32,3.02,1,19
48.19,14.93,9.24,8.03,99.86,13140.0,56.0,70.0,89.0,163.0,11.9,1.63,285.6,202.1,61.1,7.8,1.3,4.72,0.79,43.04,1.24,7.4,54.4,36.7,7.33,7.86,48.54,2.21,15.04,9.3,7.55,8.08,4.96,2,385
62.1,17.17,4.89,4.47,99.55,3117.0,97.0,12.0,28.0,50.0,3.2,1.88,89.7,62.3,16.2,9.0,2.3,30.8,0.44,6.54,0.13,8.8,14.8,10.0,1.7,1.8,63.45,0.53,17.54,5.0,1.3,4.57,4.05,0,1895
69.6,16.9,1.3,2.0,100.21,1918.0,152.0,17.0,35.0,67.0,3.8,0.6,113.9,83.0,19.5,2.9,2.1,39.9,0.48,28.17,0.11,9.3,58.8,39.7,6.35,6.81,70.41,0.32,17.1,1.32,0.64,2.02,4.17,0,425
57.36,16.78,6.19,5.72,97.85,3057.0,22.0,3.0,7.0,16.0,2.3,1.59,23.8,19.4,11.6,7.6,2.5,9.7,0.4,1.84,0.13,3.2,4.6,3.1,1.4,1.5,60.56,0.54,17.72,6.54,3.41,6.04,3.79,0,2612
61.87,15.7,4.9,4.85,98.77,3537.0,90.0,10.0,45.0,88.0,4.2,1.2,145.2,108.9,21.5,5.7,4.5,21.43,0.22,8.33,0.11,10.7,37.5,25.3,3.5,3.75,63.16,0.6,16.03,5.0,1.89,4.95,4.28,0,546
59.4,16.7,6.52,4.88,99.26,4856.0,174.0,18.0,37.0,73.0,6.4,2.88,117.7,90.5,32.7,13.8,2.0,27.27,0.5,6.35,0.11,5.7,12.7,8.5,2.22,2.37,60.01,0.82,16.87,6.58,2.39,4.93,3.3,1,717
57.2,16.6,5.15,5.17,93.81,5275.6,41.0,25.0,51.0,94.0,5.4,1.1,165.2,116.7,27.7,5.3,2.0,7.56,0.49,22.73,0.61,9.48,46.55,31.38,4.91,5.26,61.65,0.95,17.89,5.55,0.0,5.57,5.07,2,2009
51.19,17.55,7.53,5.53,100.05,5695.0,19.0,13.0,15.0,31.0,3.2,1.58,49.5,38.2,16.4,7.6,1.2,6.0,0.83,8.04,0.66,4.8,9.7,6.5,2.0,2.2,53.4,0.99,18.31,7.85,4.92,5.77,6.7,0,2794
71.28,14.84,3.03,2.57,100.93,1619.0,90.0,9.0,26.0,45.0,2.5,1.25,84.8,55.7,12.8,6.0,3.1,36.0,0.32,6.83,0.09,10.5,21.0,14.2,2.0,2.1,71.23,0.27,14.83,3.03,0.6,2.57,3.94,0,2616
